CD_PREST,CD_ESPEC,FG_PRINC,CD_CBOS,DM_IND_ATENDIMENTO,FG_PADRAO,ID_ORIGEM
164000052909,14,S,225225,T,S,24730
164000052909,75,N,225280,T,N,1309
164000055746,43,S,225265,T,S,526
164000058230,35,S,225140,T,S,527
164000065920,14,S,225225,T,S,531
164000076549,14,S,225225,T,S,535
164000084274,14,S,225225,T,S,538
164000090657,46,S,225325,T,S,542
164000094679,7,S,225120,T,S,544
164000094679,30,N,225150,T,N,24706
164000099468,45,S,225275,T,S,551
164000105654,43,S,225265,T,S,555
164000105859,48,S,225124,T,S,558
164000107959,60,S,225250,T,S,559
164000108033,51,S,225320,T,S,561
164000109803,40,N,225112,T,N,564
164000109803,38,S,225260,T,S,1334
164000113320,7,S,225120,T,S,566
164000114246,37,N,225109,T,N,569
164000114246,53,S,225285,T,S,568
164000115625,51,S,225320,T,S,570
164000118764,60,S,225250,T,S,571
164000122656,7,S,225120,T,S,24421
164000122656,74,N,225125,T,N,24704
164000123377,45,S,225275,T,S,574
164000124004,48,S,225124,T,S,575
164000124012,53,S,225285,T,S,578
164000129464,35,S,225140,T,S,580
164000130438,3,S,225151,T,S,581
164000130438,35,N,225140,T,N,583
164000146334,74,S,225125,T,S,590
164000151125,74,S,225125,T,S,594
164000151770,3,S,225151,T,S,596
164000156321,74,S,225125,T,S,600
164000157875,74,S,225125,T,S,605
164000158901,60,S,225250,T,S,607
164000158928,48,S,225124,T,S,608
164000162461,14,S,225225,T,S,610
164000162658,47,S,225305,T,S,611
164000164375,18,S,225155,T,S,612
164000164812,48,S,225124,T,S,613
164000171754,3,S,225151,T,S,615
164000180133,40,S,225112,T,S,616
164000180133,38,N,225260,T,N,1335
164000180664,74,S,225125,T,S,617
164000183469,74,N,225125,T,N,619
164000183469,21,S,225165,T,S,618
164000187561,13,S,225235,T,S,620
164000188355,60,S,225250,T,S,621
164000190449,74,S,225125,T,S,1687
164000195335,52,S,225136,T,S,628
164000195335,71,N,225105,T,N,1338
164000199330,74,S,225125,T,S,24661
164000200886,51,S,225320,T,S,632
164000209433,3,S,225151,T,S,635
164000210660,74,S,225125,T,S,636
164000211357,60,S,225250,T,S,638
164000211365,60,S,225250,T,S,640
164000211373,60,S,225250,T,S,642
164000215697,74,S,225125,T,S,645
164000216790,17,S,225135,T,S,647
164000220054,7,S,225120,T,S,648
164000222278,14,S,225225,T,S,652
164000230068,60,S,225250,T,S,656
164000230378,13,S,225235,T,S,658
164000239391,44,S,225270,T,S,662
164000239723,3,S,225151,T,S,663
164000244018,60,S,225250,T,S,665
164000251766,43,S,225265,T,S,668
164000253050,7,S,225120,T,S,672
164000256806,44,S,225270,T,S,674
164000263810,60,S,225250,T,S,675
164000270175,43,S,225265,T,S,679
164000285253,50,S,225133,T,S,681
164000288007,7,S,225120,T,S,683
164000288430,3,S,225151,T,S,685
164000291652,14,S,225225,T,S,688
164000291652,77,N,225310,T,N,24728
164000291857,29,S,225103,T,S,1325
164000291857,74,N,225125,T,N,24710
164000291920,53,S,225285,T,S,690
164000292233,37,N,225109,T,N,691
164000292233,45,S,225275,T,S,1324
164000293000,45,S,225275,T,S,692
164000294252,14,S,225225,T,S,15749
164000294252,11,N,225220,T,N,327709
164000296042,60,S,225250,T,S,695
164000298177,8,S,225215,T,S,698
164000302620,60,S,225250,T,S,701
164000302620,31,N,225255,T,N,700
164000306803,52,S,225136,T,S,704
164000309527,3,S,225151,T,S,708
164000309527,35,N,225140,T,N,24711
164000310169,60,S,225250,T,S,709
164000315187,60,S,225250,T,S,711
164000315497,74,S,225125,T,S,713
164000321500,60,S,225250,T,S,717
164000322469,54,S,225115,T,S,720
164000322469,51,N,225320,T,N,290713
164000322469,76,N,225210,T,N,24425
164000322477,51,S,225320,T,S,721
164000322663,43,S,225265,T,S,722
164000332367,46,N,225325,T,N,317041
164000332936,48,S,225124,T,S,725
164000335935,44,S,225270,T,S,726
164000341269,21,S,225165,T,S,728
164000341269,77,N,225310,T,N,24550
164000345019,74,S,225125,T,S,729
164000345019,66,N,225127,T,N,20740
164000348611,53,S,225285,T,S,732
164000355189,66,S,225127,T,S,733
164000359940,18,S,225155,T,S,736
164000364811,60,S,225250,T,S,737
164000365389,53,S,225285,T,S,739
164000367063,48,S,225124,T,S,741
164000367896,74,N,225125,T,N,24731
164000367896,17,S,225135,T,S,742
164000371427,40,S,225112,T,S,744
164000386033,45,S,225275,T,S,747
164000388907,74,N,225125,T,N,749
164000388907,23,S,225180,T,S,750
164000393650,43,S,225265,T,S,751
164000403051,75,S,225280,T,S,753
164000416781,54,S,225115,T,S,756
164000416781,76,N,225203,T,N,1339
164000436812,44,S,225270,T,S,757
164210004110,53,N,225285,T,N,1326
164210004110,53,S,225285,T,S,767
164210004161,33,S,223605,T,S,779
164210004196,43,S,225265,T,S,782
164210004250,44,N,225270,T,N,18119
164210004250,45,N,225275,T,N,18120
164210004250,51,S,225320,T,S,1259
164210004250,21,N,225165,T,N,787
164210004250,40,N,225112,T,N,18118
164210004250,77,N,225310,T,N,788
164210004250,33,N,223605,T,N,31047
164210004250,33,N,223810,T,N,31048
164210004250,33,N,251510,T,N,31046
164210004250,51,N,225320,T,N,786
164210004250,51,N,225320,T,N,789
164210004250,75,N,225280,T,N,125237
164210004269,14,S,225225,T,S,790
164210004277,37,S,225109,T,S,791
164210004323,21,N,225165,T,N,801
164210004323,77,S,225310,T,S,800
164210004323,11,N,225220,T,N,327711
164210004323,75,N,225280,T,N,132064
164210004358,60,S,225250,T,S,805
164210004366,43,S,225265,T,S,806
164210004374,35,S,225140,T,S,807
164210004374,35,N,225140,T,N,808
164210004374,35,N,225140,T,N,809
164210004374,35,N,225140,T,N,810
164210004404,33,S,223605,T,S,814
164210004447,53,S,225285,T,S,822
164210004528,52,S,225136,T,S,830
164210004544,17,S,225135,T,S,832
164210004579,53,S,225285,T,S,836
164210004595,60,S,225250,T,S,838
164210004676,33,S,223605,T,S,846
164210004684,33,S,223605,T,S,847
164210006016,33,S,223810,T,S,848
164210006032,33,S,223810,T,S,850
164110006081,74,S,225125,T,S,869
164110006090,46,S,225325,T,S,870
164310005011,46,S,225325,T,S,871
164310005020,46,S,225325,T,S,873
164310005038,47,N,225305,T,N,875
164310005038,47,S,225148,T,S,874
164310005038,47,N,225148,T,N,876
164310005062,46,S,225325,T,S,881
164310005100,46,S,225325,T,S,885
164310005100,46,N,225325,T,N,886
164310005100,21,N,225165,T,N,164872
164310005100,14,N,225225,T,N,312876
164310005119,46,S,225325,T,S,888
164310005119,46,N,225325,T,N,889
164310005151,46,S,225325,T,S,897
164310005151,46,N,225325,T,N,898
164310005160,46,S,225325,T,S,900
16411000600,74,N,225125,T,N,326049
16411000600,46,S,225125,T,S,1158
16411000600,46,N,225325,T,N,1159
16411000600,46,N,225325,T,N,1160
16411000600,33,N,225160,T,N,1166
16411000600,33,N,225160,T,N,1168
16411000600,33,N,225160,T,N,1169
16411000601,46,N,225125,T,N,327325
16411000601,60,S,225250,T,S,327190
16411000603,46,N,225125,T,N,1185
16411000603,46,N,225325,T,N,1186
16411000603,74,S,225125,T,S,327280
16411000603,7,N,225120,T,N,1187
16411000603,51,N,225320,T,N,1188
16411000603,33,N,225160,T,N,1189
16411000603,33,N,225160,T,N,1191
16411000603,33,N,225160,T,N,1192
16411000603,46,N,225125,T,N,132062
16411000604,46,S,225125,T,S,1193
16411000604,46,N,225325,T,N,1194
16411000604,51,N,225320,T,N,1195
16411000604,33,N,225160,T,N,1196
16411000604,33,N,225160,T,N,1198
16411000604,33,N,225160,T,N,1199
16411000604,46,N,225125,T,N,132061
16411000605,74,S,225125,T,S,329056
16411000605,46,N,225125,T,N,1200
16411000605,46,N,225325,T,N,1201
16411000605,7,N,225120,T,N,1202
16411000605,51,N,225320,T,N,1203
16411000605,33,N,225160,T,N,1204
16411000605,33,N,225160,T,N,1206
16411000605,33,N,225160,T,N,1207
16411000605,46,N,225125,T,N,132060
164110006065,51,S,225320,T,S,1208
164110006073,51,S,225320,T,S,1209
164110006251,51,S,225320,T,S,1261
164110006251,51,N,225320,T,N,1227
164210004692,43,S,225265,T,S,1230
164210004706,44,S,225270,T,S,1240
164000435450,48,S,225124,T,S,1241
164000435450,66,N,225127,T,N,20817
164000415351,74,N,225125,T,N,24708
164000415351,66,S,225127,T,S,1244
164000390146,14,S,225225,T,S,1245
164000480617,60,S,225250,T,S,1246
164210004722,33,S,223605,T,S,1248
164000388109,74,S,225125,T,S,162554
164000388109,30,N,225150,T,N,1255
164000508341,48,S,225124,T,S,1257
164210004755,33,S,223605,T,S,1265
164210008124,33,S,251510,T,S,1267
164000346805,48,S,225124,T,S,1275
164000425160,43,S,225265,T,S,1285
164000415486,14,N,225225,T,N,24709
164000415486,53,S,225285,T,S,1286
164000428496,74,N,225125,T,N,24716
164000428496,37,S,225109,T,S,1288
164210004790,33,S,223605,T,S,1294
164310005178,46,S,225325,T,S,1299
164000164804,74,N,225125,T,N,24737
164000164804,60,S,225250,T,S,1311
164310005184,51,N,225320,T,N,1319
164310005184,46,S,225325,T,S,1313
164310005184,35,N,225140,T,N,1314
164310005184,35,N,225140,T,N,1315
164310005184,35,N,225140,T,N,1316
164310005184,35,N,225140,T,N,1317
164310005184,35,N,225140,T,N,1318
164000393838,44,S,225270,T,S,1323
164000501657,17,S,225135,T,S,1328
164000501576,43,S,225265,T,S,1329
164000413979,74,S,225125,T,S,1330
164000437908,74,S,225125,T,S,1332
164000488162,40,S,225112,T,S,1341
164000462449,43,S,225265,T,S,1342
164000476148,17,S,225135,T,S,1344
164000339159,74,S,225125,T,S,1346
164310005194,46,S,225325,T,S,1358
164210004862,7,S,225120,T,S,2120
164210004862,7,N,225120,T,N,2123
164210004862,7,N,225120,T,N,2122
164000274472,43,S,225265,T,S,2221
164210004880,43,S,225265,T,S,2722
164000467970,48,S,225124,T,S,2747
164000467970,30,N,225150,T,N,24736
164000466620,7,S,225120,T,S,2782
164210006110,33,S,223810,T,S,10804
164000474100,44,S,225270,T,S,13896
164000477820,37,S,225109,T,S,13897
164000656750,7,S,225120,T,S,13900
164210004910,33,S,223605,T,S,14174
164210006120,33,S,223810,T,S,14707
164000540430,44,S,225270,T,S,14708
164000638720,37,S,225109,T,S,14710
164000533060,44,S,225270,T,S,15938
164000582610,60,S,225250,T,S,16206
164210004920,44,S,225270,T,S,16589
164210000020,74,S,225125,T,S,174162
164000541840,14,N,225225,T,N,20284
164000541840,53,S,225285,T,S,24423
164000569200,44,S,225270,T,S,20289
164000505730,13,S,225235,T,S,20866
164000555800,43,S,225265,T,S,20867
164310005200,46,S,225325,T,S,20872
164000496860,45,S,225275,T,S,22127
164000721630,48,S,225124,T,S,22129
164210004940,21,N,225165,T,N,22801
164210004940,77,S,225310,T,S,22800
164000649230,3,S,225151,T,S,22802
164210008370,33,S,251510,T,S,23680
16411000626,51,N,225320,T,N,25434
16411000626,6,N,225121,T,N,274531
16411000626,46,S,225125,T,S,25422
16411000626,7,N,225120,T,N,25431
16411000626,46,N,225325,T,N,25423
16411000626,46,N,225325,T,N,25424
16411000626,21,N,225165,T,N,290711
16411000626,74,N,225125,T,N,277520
16411000626,60,N,225250,T,N,324348
16411000626,45,N,225275,T,N,161284
16411000626,48,N,225124,T,N,327414
16411000626,53,N,225285,T,N,158372
16411000626,51,N,225320,T,N,25435
16411000626,7,N,225120,T,N,25425
16411000626,7,N,225120,T,N,25426
16411000626,77,N,225310,T,N,290712
16411000626,51,N,225320,T,N,25427
16411000626,51,N,225320,T,N,25428
16411000626,51,N,225320,T,N,25436
16411000626,51,N,225320,T,N,25429
16411000626,33,N,225160,T,N,25430
16411000626,33,N,225160,T,N,25432
16411000626,33,N,225160,T,N,25433
16411000626,46,N,225125,T,N,132063
164000406370,38,S,225260,T,S,26788
164000533520,17,S,225135,T,S,26791
164000550100,43,S,225265,T,S,36632
164000596100,26,S,225185,T,S,98602
164000466120,76,S,225210,T,S,46543
164000744730,32,S,225160,T,S,52112
164000744730,71,N,225105,T,N,98603
164000635010,74,N,225125,T,N,52368
164000635010,18,S,225155,T,S,98597
164000569050,48,S,225124,T,S,55982
164210004980,44,S,225270,T,S,75695
164000568950,14,S,225225,T,S,77667
164000500880,17,S,225135,T,S,77682
164000604210,17,S,225135,T,S,82010
164000644360,48,S,225124,T,S,82011
164000622860,43,S,225265,T,S,82012
164310005210,46,S,225325,T,S,82313
164310005210,46,N,225325,T,N,82314
164000650500,74,N,225125,T,N,90683
164000650500,18,S,225155,T,S,90684
164000698710,74,N,225125,T,N,90718
164000698710,30,S,225150,T,S,90717
164000533540,14,N,225225,T,N,90725
164000533540,30,S,225150,T,S,90724
164000408160,30,S,225150,T,S,90727
164310005220,46,S,225325,T,S,95631
164000621750,74,N,225125,T,N,95726
164000621750,52,S,225136,T,S,95896
164000670580,40,S,225112,T,S,95897
164000642780,60,S,225250,T,S,95899
164000787380,44,S,225270,T,S,96790
164210004990,44,S,225270,T,S,99178
164110006270,51,N,225320,T,N,100481
164110006270,7,N,225120,T,N,100480
164110006270,51,N,225320,T,N,100479
164110006270,51,N,225320,T,N,100478
164110006270,51,N,225320,T,N,100477
164110006270,51,S,225320,T,S,100476
164110006280,51,N,225320,T,N,101704
164110006280,7,N,225120,T,N,101703
164110006280,51,N,225320,T,N,101702
164110006280,51,N,225320,T,N,101701
164110006280,51,N,225320,T,N,101700
164110006280,51,S,225320,T,S,101699
164110006290,6,N,225121,T,N,324284
164110006290,51,N,225320,T,N,101710
164110006290,7,N,225120,T,N,101709
164110006290,51,N,225320,T,N,101708
164110006290,51,N,225320,T,N,101707
164110006290,51,N,225320,T,N,101706
164110006290,51,S,225320,T,S,101705
164000498710,44,S,225270,T,S,104355
164000580640,13,S,225235,T,S,104753
164000542660,60,S,225250,T,S,108906
164000508710,38,S,225260,T,S,109144
164000675090,14,S,225225,T,S,109159
164210005000,33,S,223605,T,S,114894
164000587280,38,S,225260,T,S,118269
164210004010,33,S,223605,T,S,124549
164000665160,44,S,225270,T,S,125826
164999999999,74,S,225125,T,S,139286
164210005010,44,S,225270,T,S,141225
164000661480,50,S,225133,T,S,163759
164000604100,38,S,225260,T,S,155313
164210008440,33,S,251510,T,S,157534
164000845940,3,S,225151,T,S,164218
164000664820,3,S,225151,T,S,165217
164210000010,50,S,223905,T,S,165196
164210000010,33,N,223810,T,N,165197
164210000010,33,N,251510,T,N,165198
164210000010,33,N,223710,T,N,165199
164210005020,52,S,225136,T,S,166748
164210005030,17,S,225135,T,S,166757
164000733580,3,S,225151,T,S,174645
164000746910,3,S,225151,T,S,174668
164210008450,33,S,251510,T,S,265433
164000600720,43,S,225265,T,S,281617
164000709740,74,N,225125,T,N,281770
164000709740,18,S,225155,T,S,281652
164000669310,43,S,225265,T,S,281670
164000682150,13,S,225235,T,S,281767
164000657770,43,S,225265,T,S,281768
164000631000,44,S,225270,T,S,283133
164000726150,63,N,225170,T,N,289181
164000726150,61,S,225130,T,S,283166
164000681310,14,S,225225,T,S,297340
164000681310,63,N,225170,T,N,301254
164210006160,33,S,223810,T,S,313601
164210005040,33,S,251510,T,S,319872
164210005050,33,S,251510,T,S,320348
164210005060,33,S,223605,T,S,322546
164210005070,33,S,223605,T,S,322569
164110006300,51,N,225320,T,N,325144
164110006300,51,S,225320,T,S,325143
164210008460,33,S,251510,T,S,325453
164000653410,50,S,225133,T,S,329511
164000674150,29,S,225103,T,S,329512
164000682660,7,S,225120,T,S,329641
164000665140,38,S,225260,T,S,329661